date,ON,1W,1M,2M,3M,6M,1Y,2Y,5Y,10Y
1/2/2014,0.13,0.15,0.16,0.19,0.23,0.36,0.31,0.49,1.77,3.06
1/3/2014,0.13,0.14,0.16,0.20,0.24,0.36,0.30,0.50,1.79,3.06
1/6/2014,0.13,0.16,0.16,0.21,0.24,0.36,0.00,0.50,1.75,3.03
1/7/2014,0.13,0.13,0.17,0.30,0.24,0.34,0.30,0.50,1.73,3.01
1/8/2014,0.13,0.15,0.17,0.18,0.24,0.33,0.31,0.54,1.82,3.06
1/9/2014,0.12,0.14,0.17,0.20,0.23,0.33,0.31,0.54,1.83,3.05
1/10/2014,0.13,0.15,0.17,0.18,0.23,0.32,0.29,0.48,1.71,2.95
1/13/2014,0.15,0.15,0.17,0.19,0.23,0.32,0.29,0.47,1.67,2.91
1/14/2014,0.15,0.14,0.17,0.17,0.23,0.34,0.29,0.50,1.73,2.96
1/15/2014,0.12,0.13,0.17,0.20,0.22,0.31,0.30,0.52,1.76,2.98
1/16/2014,0.17,0.14,0.17,0.21,0.18,0.33,0.00,0.51,1.74,2.95
1/17/2014,0.15,0.17,0.17,0.17,0.18,0.38,0.30,0.50,1.73,2.93
1/20/2014,0.15,0.13,0.17,0.25,0.19,0.40,0.30,0.51,1.73,2.93
1/21/2014,0.17,0.17,0.17,0.18,0.19,0.33,0.29,0.51,1.74,2.92
1/22/2014,0.18,0.15,0.17,0.17,0.19,0.32,0.29,0.53,1.79,2.97
1/23/2014,0.15,0.15,0.17,0.19,0.20,0.34,0.30,0.50,1.71,2.89
1/24/2014,0.16,0.16,0.17,0.19,0.20,0.35,0.29,0.49,1.69,2.85
1/27/2014,0.19,0.16,0.17,0.20,0.24,0.36,0.30,0.50,1.71,2.88
1/28/2014,0.13,0.15,0.17,0.19,0.21,0.35,0.29,0.49,1.68,2.88
1/29/2014,0.13,0.15,0.17,0.20,0.23,0.36,0.29,0.47,1.63,2.81
1/30/2014,0.13,0.15,0.17,0.20,0.23,0.37,0.29,0.48,1.65,2.83
1/31/2014,0.15,0.16,0.17,0.22,0.24,0.37,0.29,0.46,1.62,2.80
2/3/2014,0.13,0.15,0.17,0.25,0.26,0.40,0.28,0.43,1.56,2.73
2/4/2014,0.15,0.15,0.17,0.22,0.25,0.39,0.28,0.44,1.58,2.77
2/5/2014,0.15,0.14,0.17,0.22,0.25,0.37,0.27,0.44,1.59,2.80
2/6/2014,0.15,0.16,0.17,0.19,0.27,0.37,0.27,0.45,1.63,2.84
2/7/2014,0.18,0.14,0.17,0.21,0.24,0.36,0.27,0.42,1.57,2.80
2/10/2014,0.15,0.18,0.17,0.25,0.23,0.35,0.26,0.43,1.58,2.80
2/11/2014,0.07,0.12,0.17,0.20,0.25,0.28,0.27,0.45,1.63,2.84
2/12/2014,0.15,0.16,0.17,0.19,0.22,0.36,0.27,0.46,1.67,2.89
2/13/2014,0.15,0.15,0.22,0.21,0.24,0.37,0.26,0.43,1.61,2.84
2/14/2014,0.13,0.15,0.17,0.21,0.23,0.37,0.00,0.45,1.64,2.85
2/18/2014,0.18,0.14,0.17,0.21,0.25,0.35,0.00,0.43,1.60,2.82
2/19/2014,0.13,0.15,0.17,0.21,0.23,0.36,0.26,0.45,1.63,2.84
2/20/2014,0.13,0.16,0.17,0.21,0.23,0.37,0.27,0.46,1.65,2.85
2/21/2014,0.15,0.15,0.17,0.21,0.23,0.36,0.27,0.45,1.64,2.83
2/24/2014,0.15,0.16,0.17,0.18,0.22,0.36,0.26,0.46,1.64,2.84
2/25/2014,0.15,0.15,0.17,0.21,0.22,0.36,0.26,0.45,1.61,2.79
2/26/2014,0.18,0.15,0.17,0.21,0.22,0.36,0.26,0.43,1.59,2.77
2/27/2014,0.13,0.16,0.17,0.19,0.22,0.38,0.27,0.45,1.58,2.75
2/28/2014,0.14,0.15,0.17,0.19,0.26,0.35,0.27,0.45,1.61,2.77
3/3/2014,0.13,0.15,0.17,0.19,0.22,0.35,0.27,0.45,1.57,2.73
3/4/2014,0.13,0.15,0.17,0.20,0.24,0.37,0.27,0.46,1.63,2.80
3/5/2014,0.15,0.15,0.17,0.23,0.23,0.37,0.27,0.46,1.62,2.80
3/6/2014,0.13,0.15,0.17,0.20,0.23,0.37,0.27,0.48,1.67,2.84
3/7/2014,0.15,0.14,0.17,0.16,0.21,0.32,0.28,0.51,1.73,2.89
3/10/2014,0.14,0.14,0.17,0.17,0.21,0.33,0.28,0.51,1.71,2.88
3/11/2014,0.14,0.14,0.17,0.19,0.22,0.34,0.28,0.51,1.70,2.86
3/12/2014,0.00,0.14,0.14,0.17,0.19,0.22,0.28,0.50,1.67,2.83
3/13/2014,0.00,0.13,0.14,0.17,0.19,0.22,0.27,0.48,1.62,2.76
3/14/2014,0.00,0.12,0.14,0.17,0.20,0.22,0.28,0.48,1.62,2.76
3/17/2014,0.00,0.12,0.14,0.17,0.19,0.22,0.28,0.50,1.67,2.81
3/18/2014,0.00,0.15,0.14,0.17,0.19,0.22,0.28,0.48,1.65,2.80
3/19/2014,0.00,0.12,0.14,0.17,0.19,0.21,0.28,0.54,1.78,2.88
