date,CAD,CAD1M,CAD3M,CAD6M,EUR,EUR1M,EUR3M,EUR6M,GBP,GBP1M,GBP3M,GBP6M,CHF,CHF1M,CHF3M,CHF6M,AUD,AUD1M,AUD3M,AUD6M,JPY,JPY1M,JPY3M,JPY6M,NZD,NZD1M,NZD3M,NZD6M
11/13/2018,1.3244,1.32374,1.32185,1.32001,1.12805,1.13081,1.13793,1.14703,1.2996,1.30139,1.30613,1.31192,1.0088,1.00601,0.99899,0.99006,0.7208,0.72106,0.7217,0.7228,113.93,113.672,112.9804,112.1185,0.67535,0.67562,0.6762,0.67728
11/14/2018,1.3231,1.32241,1.3205,1.31861,1.13085,1.13352,1.141,1.1498,1.30035,1.30207,1.30701,1.31263,1.0077,1.005,0.99765,0.989,0.72175,0.72202,0.72271,0.72381,113.895,113.6435,112.91175,112.0775,0.67845,0.67866,0.67928,0.68028
11/15/2018,1.3228,1.32213,1.3201,1.31825,1.1318,1.1344,1.14156,1.1507,1.27865,1.28029,1.28499,1.2908,1.00605,1.00343,0.99638,0.98746,0.7259,0.72616,0.72683,0.72797,113.245,113.0015,112.3016,111.4425,0.6824,0.68261,0.68324,0.68427
11/16/2018,1.3142,1.31355,1.31162,1.30971,1.13955,1.14215,1.14923,1.15828,1.28405,1.28569,1.29032,1.29604,1.0026,1.00001,0.99308,0.98435,0.7312,0.7315,0.7322,0.73332,112.835,112.59255,111.9078,111.0595,0.68575,0.68596,0.68658,0.68761
11/19/2018,1.3171,1.31644,1.31455,1.31272,1.1451,1.1477,1.15472,1.16375,1.28635,1.288,1.29244,1.2981,0.994,0.99142,0.98465,0.97601,0.73005,0.73033,0.73101,0.73209,112.575,112.3367,111.6656,110.8275,0.684,0.68422,0.68485,0.68588
11/20/2018,1.3235,1.32282,1.32089,1.31905,1.141,1.14371,1.15085,1.1597,1.2824,1.28414,1.28863,1.29419,0.9936,0.99091,0.98399,0.97553,0.7259,0.7262,0.72688,0.72791,112.63,112.387,111.709,110.8455,0.6829,0.68316,0.6838,0.68483
11/21/2018,1.3294,1.32868,1.32673,1.32483,1.13955,1.14225,1.14939,1.15825,1.2782,1.27992,1.28442,1.29003,0.9955,0.99281,0.98584,0.97732,0.72615,0.72647,0.7272,0.72834,112.975,112.7315,112.0475,111.1765,0.68415,0.6844,0.68506,0.68611
11/23/2018,1.3235,1.32275,1.32088,1.31893,1.13445,1.13708,1.14411,1.15324,1.28025,1.28193,1.28637,1.29215,0.9975,0.99488,0.988,0.97918,0.72275,0.72309,0.72384,0.72502,112.775,112.53195,111.854,110.9995,0.6774,0.67769,0.67837,0.67951
11/26/2018,1.3238,1.32306,1.32113,1.31909,1.13405,1.13669,1.14361,1.15268,1.2826,1.28428,1.2887,1.2944,0.99885,0.99622,0.98937,0.98056,0.72345,0.72381,0.7246,0.72583,113.585,113.3395,112.6674,111.8145,0.6785,0.6788,0.6795,0.68064
11/27/2018,1.3281,1.32736,1.32543,1.32344,1.12905,1.1319,1.1384,1.1475,1.27395,1.27578,1.27994,1.28574,0.999,0.99617,0.98975,0.98093,0.7221,0.72249,0.72326,0.72452,113.79,113.5535,112.882,112.0195,0.6787,0.67903,0.67975,0.68091
11/28/2018,1.3355,1.33465,1.33282,1.33081,1.12755,1.13032,1.13672,1.14603,1.27535,1.27715,1.28127,1.2872,1.0004,0.99765,0.99128,0.98222,0.7222,0.72257,0.72332,0.7246,114.015,113.7865,113.118,112.2265,0.6791,0.67944,0.68014,0.68135
11/29/2018,1.3282,1.32735,1.32555,1.32356,1.13865,1.14207,1.14782,1.15707,1.27755,1.27981,1.28351,1.28936,0.996,0.99255,0.98693,0.97803,0.7313,0.73167,0.73241,0.73361,113.3,112.9302,112.4015,111.5315,0.6863,0.68665,0.68739,0.68854
