date,Strategy1,Strategy2,Strategy3,Strategy4,Strategy5,Strategy6,Strategy7,Strategy8,Strategy9,Strategy10,Strategy11,Strategy12,Strategy13,Strategy14,Strategy15,Strategy16,Strategy17,Strategy18,Strategy19,Strategy20,Strategy21,Strategy22,Strategy23,Strategy24,Strategy25,Strategy26,Strategy27,Strategy28,Strategy29,Strategy30,Strategy31,Strategy32,Strategy33,Strategy34
1/2/2017,213.73,105.96,483.0041,521.1049,441.4239,539.0891,502.1963,103.72,107.09,108.77,110.22,605.606,105.96,101.15,146.86,466.9122,118.18,69.6155,328.2963,296.7364,90.8,66.3,91.56,101.81,65.24,85.86,45.5,64.81,84.32,101.81,67.23,101.35,74.26,67.23
1/3/2017,214.46,106.33,481.0962,529.6631,441.6132,539.8339,500,104.13,107.44,109.03,110.11,607.2387,106.33,101.31,146.66,467.3338,118.18,70.2419,326.4274,298.7898,90.95,66.46,91.34,101.86,65.12,85.86,44.58,64.4,84.26,96.96,67.34,101.4,74.62,67.34
1/4/2017,215.16,106.12,481.4813,530.2928,440.7892,539.5418,499.2433,103.81,107.28,109.08,109.84,606.5623,106.12,101.13,146.39,467.2423,118.18,70.1539,326.3541,298.2521,91,66.55,91.51,101.9,65.12,85.85,44.69,64.24,84.4,97.75,67.39,101.42,74.79,67.39
1/5/2017,214.34,106.14,478.8741,529.2801,441.4228,540.7106,499.0205,103.87,107.29,109.11,109.41,612.1785,106.14,101.16,147.22,467.5212,118.18,70.1092,326.7657,297.8961,90.99,66.29,91.45,101.9,65.14,85.85,44.68,63.15,84.42,99.07,67.42,101.43,74.9,67.42
1/6/2017,213.74,106.22,478.3214,530.252,441.0833,540.8523,499.8696,103.96,107.36,109.07,109.57,611.9142,106.22,101.21,147.24,468.0129,118.17,70.4825,325.696,299.7006,91.05,66.29,91.51,101.9,65.13,85.93,44.92,63.64,84.69,99.46,67.47,101.44,75.06,67.47
1/9/2017,213.69,106.34,478.2546,533.1905,441.0742,540.6125,498.132,104.07,107.48,109.13,109.47,607.9288,106.34,101.3,146.99,468.8224,118.17,70.9052,326.581,298.9144,91.1,66.32,91.53,101.92,65.23,85.99,44.8,63.25,84.71,100.18,67.5,101.45,75.16,67.5
1/10/2017,213.79,106.43,478.9553,531.5256,441.6544,541.4941,497.096,104.13,107.59,109.18,109.37,596.1465,106.43,101.37,146.47,469.0119,118.17,70.96,326.7149,299.3613,91.09,66.13,91.51,101.92,65.23,86.27,44.73,63.4,84.77,99.89,67.51,101.45,75.22,67.51
1/11/2017,212.55,106.47,478.9267,530.4873,441.3876,535.8974,497.5361,104.11,107.66,109.16,109.49,599.5912,106.47,101.42,146.29,469.0483,118.17,70.9886,327.5184,299.3269,91.1,66.09,91.71,101.91,65.26,86.39,44.74,63.39,84.29,99.94,67.56,101.47,75.41,67.56
1/12/2017,213.37,106.24,479.7725,529.4061,442.0265,538.5216,497.223,104.05,107.35,109.16,109.2,597.9631,106.24,101.28,146.09,469.1018,118.17,71.0778,327.7447,298.6768,91.05,66.01,91.56,101.88,65.22,86.51,44.93,63.7,84.46,99.96,67.54,101.46,75.32,67.54
1/13/2017,212.77,106.04,482.3828,529.5152,441.5167,541.2461,497.2902,103.77,107.18,109.14,109.63,594.4956,106.04,101.09,146.17,469.1957,118.17,70.991,326.9325,299.5111,90.97,65.98,91.62,101.92,65.2,86.56,45.12,63.91,84.56,99.12,67.57,101.47,75.43,67.57
